A,B,X,Thickness,Bandgap,Voc,Jsc,FF,PCE
3.6904952079334504e-05,0.0002698836865142375,0.0003130479911515595,0.006719341952226764,0.00985930378726937,0.030294939710769325,0.0008304791967510854,0.09852446606191553,0.001739503854906622
4.868228236904343e-05,0.00023208547568913295,8.327617363872568e-05,0.009442327190236575,0.012503290183311979,0.035482626268456406,0.001068690448910251,0.1438549045238824,0.002195566386999443
6.455588635941357e-05,0.00018196037746768504,1.7356350120923367e-05,0.013026065918901066,0.01542063128666515,0.03950066148336061,0.0013514292826987233,0.19293629937164167,0.0027328912389802964
8.650429198690477e-05,0.00013006583514169723,2.8341565930043524e-06,0.01763788764854495,0.01865468442331706,0.04193407393247923,0.0016798398182139502,0.24171019238129496,0.0033553059471455393
0.0001174706401970265,8.476316736617939e-05,3.6259108586870914e-07,0.023436530565672267,0.022314256089788705,0.04264650954485778,0.0020530754447576982,0.2948459405384395,0.004064099667953532
0.00016162297304537498,5.036265971847368e-05,3.6345448804406844e-08,0.030555207051351615,0.026554712299455153,0.04180604331406065,0.0024680271026658023,0.354428214253524,0.0048575534447753395
0.00022455626248892493,2.7281464295809612e-05,2.8766166604518196e-09,0.03908327832571619,0.03152931209396331,0.03982439247291533,0.0029192170642778183,0.42135572695855655,0.0057306216338566494
0.0003133581144898123,1.3473618116623855e-05,5.698624006636432e-10,0.04904950262743357,0.03732156119901364,0.03723545622364607,0.0033988943808422882,0.5015403037961045,0.006674816352271091
0.00043644773941821895,6.0667811597927915e-06,5.4459998967759415e-09,0.06041045805708672,0.04388062816178943,0.03455996506853036,0.0038973460889675173,0.59928864368926,0.0076783324524690565
0.0006031019205353638,2.49051961602724e-06,5.878048303633143e-08,0.07304766681071272,0.0509873315098958,0.032201754024429666,0.004403411328164973,0.7157700088276593,0.008726429615062144
0.0008226098563352036,9.32135886684246e-07,4.982192826229014e-07,0.0867759772239017,0.058272527908549976,0.030401118677746353,0.004905157892469667,0.8594404203598226,0.009802062755275542
0.0011030548854184669,3.1807388327712297e-07,3.3136120440536845e-06,0.10136394466217084,0.06529068606332165,0.029244246919007438,0.005390657172616344,1.0384667607967375,0.010886725060478813
0.001449802500517246,9.8964607279224e-08,1.7319204231741502e-05,0.11656461701459568,0.07162460626672783,0.028708069075498114,0.005848778279260205,1.2576220121018553,0.011961443139642617
0.0018638689950936918,2.814073127699806e-08,7.134760627452092e-05,0.13215281603361825,0.07697683140310234,0.028713947209746824,0.006269918335728876,1.5277426466436042,0.013007844471990024
0.002340432795187079,7.69771437913424e-09,0.00023297656071194028,0.14796331578783678,0.08120493478822963,0.029170022054045484,0.006646594374393072,1.8700307888489274,0.014009206488979627
0.0028678044732213374,4.094417271937252e-09,0.0006093347512942248,0.16392372323320964,0.08428628626284516,0.02999408933832934,0.006973841518247258,2.2944881748590515,0.014951395995561124
0.0034271659758848367,1.214216836099525e-08,0.0012994235613892186,0.1800765325841853,0.08623915920254782,0.031119584325695143,0.007249388690775905,2.7708047430330183,0.015823617573231873
0.003993308713859194,5.310668534074693e-08,0.00231985863442539,0.19658656530982632,0.08705460689840616,0.03249269189829139,0.007473612203410526,3.2751257863833785,0.016618908919817287
0.004536445606284068,2.1780338185774523e-07,0.0035729069886030196,0.21373235381124728,0.08668664212107144,0.03406853923050358,0.00764929421328605,3.7932877387156103,0.01733434723573576
0.005024967663899798,8.154121737452114e-07,0.004841530355031537,0.23188242301996045,0.08510907151811095,0.035810950289796535,0.007781233036378598,4.195035333635668,0.017970960303041867
0.005428804530768393,2.7833690601112047e-06,0.005749939063642338,0.25145943559402867,0.08240173605259786,0.03769594200122476,0.007875763081965229,4.192324044354269,0.018533365001251127
0.005722883800038618,8.662095348851647e-06,0.005839587487751454,0.2728966072882519,0.07880815968120036,0.03971597533517941,0.007940243183995279,3.545706943119916,0.019029181088422185
0.005890114123892299,2.4577217178480984e-05,0.0049215678592105065,0.29659171220570857,0.07472397164170316,0.04188091088660584,0.007982564664699649,2.381096691580191,0.019468286347856155
0.005923369864684415,6.357699463628802e-05,0.0033607285245833437,0.3228645008714946,0.07061687556840557,0.04421276284352999,0.008010717244481895,1.2023384995722892,0.019861988996402805
0.005826126723817716,0.0001499425249512836,0.0018311183231759275,0.3519234500084672,0.06691522084322282,0.04673413813540198,0.008032435160986926,0.4412769821218439,0.02022219418077418
